dt,orders,delivered_orders,canceled_orders,cancel_rate,gmv_booked,aov_booked,gmv_delivered,aov_delivered,avg_delay_days,late_rate,avg_review_score
2016-09-04,1,0,0,0.00000000000000000000,136.23,136.2300000000000000,,,,,1.00000000000000000000
2016-09-05,1,0,1,1.00000000000000000000,75.06,75.0600000000000000,,,,,1.00000000000000000000
2016-09-13,1,0,1,1.00000000000000000000,0,0.00000000000000000000,,,,,1.00000000000000000000
2016-09-15,1,1,0,0.00000000000000000000,143.46,143.4600000000000000,143.46,143.4600000000000000,36.3247453703703704,1.00000000000000000000,1.00000000000000000000
2016-10-02,1,0,1,1.00000000000000000000,109.34,109.3400000000000000,,,,,1.00000000000000000000
2016-10-03,8,8,1,0.12500000000000000000,595.14,74.3925000000000000,595.14,74.3925000000000000,-20.67241174768518516435,0.00000000000000000000,3.0000000000000000
2016-10-04,63,54,5,0.07936507936507936508,11295.48,179.2933333333333333,9821.42,181.8781481481481481,-29.7654601766117970,0.03703703703703703704,3.6349206349206349
2016-10-05,47,35,2,0.04255319148936170213,9645.94,205.2327659574468085,7209.50,205.9857142857142857,-34.9242774470899471,0.00000000000000000000,3.2222222222222222
2016-10-06,51,41,3,0.05882352941176470588,9131.23,179.0437254901960784,6798.90,165.8268292682926829,-36.1155278906955736,0.00000000000000000000,3.4509803921568627
2016-10-07,46,39,2,0.04347826086956521739,8135.97,176.8689130434782609,7088.39,181.7535897435897436,-39.2667242402659069,0.00000000000000000000,3.5681818181818182
2016-10-08,42,37,3,0.07142857142857142857,9383.37,223.4135714285714286,8587.15,232.0851351351351351,-43.3162152777777778,0.00000000000000000000,3.9523809523809524
2016-10-09,26,22,4,0.15384615384615384615,4018.98,154.5761538461538462,3197.92,145.3600000000000000,-39.5120323021885522,0.00000000000000000000,3.6153846153846154
2016-10-10,39,34,2,0.05128205128205128205,4493.39,115.2151282051282051,3896.73,114.6097058823529412,-36.96740536492374727582,0.02941176470588235294,3.7631578947368421
2016-10-22,1,0,1,1.00000000000000000000,0,0.00000000000000000000,,,,,1.00000000000000000000
2016-12-23,1,1,0,0.00000000000000000000,19.62,19.6200000000000000,19.62,19.6200000000000000,-21.3369907407407407,0.00000000000000000000,5.0000000000000000
2017-01-05,32,32,0,0.00000000000000000000,707.27,22.1021875000000000,707.27,22.1021875000000000,-24.3466670283564815,0.00000000000000000000,4.9062500000000000
2017-01-06,4,4,0,0.00000000000000000000,988.28,247.0700000000000000,988.28,247.0700000000000000,-33.2070399305555556,0.00000000000000000000,4.7500000000000000
2017-01-07,4,4,0,0.00000000000000000000,1447.99,361.9975000000000000,1447.99,361.9975000000000000,-16.2542824074074074,0.25000000000000000000,3.0000000000000000
2017-01-08,6,4,0,0.00000000000000000000,809.63,134.9383333333333333,507.85,126.9625000000000000,-31.0029311342592593,0.00000000000000000000,3.3333333333333333
2017-01-09,5,5,0,0.00000000000000000000,774.51,154.9020000000000000,774.51,154.9020000000000000,-13.86928240740740740370,0.40000000000000000000,3.4000000000000000
2017-01-10,6,6,0,0.00000000000000000000,1571.17,261.8616666666666667,1571.17,261.8616666666666667,-30.4452681327160494,0.00000000000000000000,3.5000000000000000
2017-01-11,12,10,1,0.08333333333333333333,3062.33,255.1941666666666667,2098.78,209.8780000000000000,-31.0106932870370370,0.00000000000000000000,3.8333333333333333
2017-01-12,13,12,0,0.00000000000000000000,2502.69,192.5146153846153846,1720.35,143.3625000000000000,-17.6466030092592593,0.16666666666666666667,3.8461538461538462
2017-01-13,12,10,1,0.08333333333333333333,2780.72,231.7266666666666667,2712.86,271.2860000000000000,-30.3333784722222222,0.00000000000000000000,4.3636363636363636
2017-01-14,18,16,0,0.00000000000000000000,1499.57,83.3094444444444444,1153.29,72.0806250000000000,-22.6588360821759259,0.06250000000000000000,3.5882352941176471
2017-01-15,14,14,0,0.00000000000000000000,2551.34,182.2385714285714286,2551.34,182.2385714285714286,-29.4894932208994709,0.00000000000000000000,4.5000000000000000
2017-01-16,19,18,0,0.00000000000000000000,3708.40,195.1789473684210526,3664.54,203.5855555555555556,-28.1915084876543210,0.00000000000000000000,4.0555555555555556
2017-01-17,32,32,0,0.00000000000000000000,3893.61,121.6753125000000000,3893.61,121.6753125000000000,-29.4757812500000000,0.00000000000000000000,4.2656250000000000
2017-01-18,33,30,0,0.00000000000000000000,4683.38,141.9206060606060606,3811.68,127.0560000000000000,-26.8755374228395062,0.03333333333333333333,3.8000000000000000
2017-01-19,29,29,0,0.00000000000000000000,4140.16,142.7641379310344828,4140.16,142.7641379310344828,-27.2564447637292465,0.03448275862068965517,4.0689655172413793
